Product Name,Segment,Country,City,State,Category,Sub-Category,Sales,Discount,Profit,Cluster
Safco Industrial Wire Shelving System,Consumer,United States,Memphis,Tennessee,Office Supplies,Storage,-0.252039,0.212153,-0.200014,1
"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Corporate,United States,Houston,Texas,Office Supplies,Storage,-0.325118,0.212153,-0.110707,1
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Corporate,United States,Decatur,Alabama,Office Supplies,Appliances,-0.034816,-0.756643,0.117594,0
Avery Heavy-Duty EZD  Binder With Locking Rings,Corporate,United States,Decatur,Alabama,Office Supplies,Binders,-0.341966,-0.756643,-0.088033,0
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Consumer,United States,San Francisco,California,Office Supplies,Art,-0.344918,-0.756643,-0.104525,0
"Sortfiler Multipurpose Personal File Organizer, Black",Consumer,United States,San Francisco,California,Office Supplies,Storage,-0.334505,-0.756643,-0.095855,0
Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Corporate,United States,Durham,North Carolina,Office Supplies,Envelopes,-0.046331,0.212153,0.145788,2
Novimex Swivel Fabric Task Chair,Consumer,United States,Columbia,South Carolina,Furniture,Chairs,0.115694,-0.756643,0.019461,0
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Consumer,United States,Rochester,Minnesota,Technology,Accessories,-0.336751,-0.756643,-0.093321,0
Avery 511,Consumer,United States,Rochester,Minnesota,Office Supplies,Labels,-0.358943,-0.756643,-0.109713,0
Eldon Portable Mobile Manager,Home Office,United States,Houston,Texas,Office Supplies,Storage,-0.114712,0.212153,-0.06318,1
Turquoise Lead Holder with Pocket Clip,Corporate,United States,Los Angeles,California,Office Supplies,Art,-0.336575,-0.756643,-0.094019,0
Panasonic Kx-TS550,Corporate,United States,Los Angeles,California,Technology,Phones,-0.250755,0.212153,-0.086996,1
Xerox 1995,Corporate,United States,Los Angeles,California,Office Supplies,Paper,-0.358429,-0.756643,-0.109057,0
Xerox 1999,Consumer,United States,Minneapolis,Minnesota,Office Supplies,Paper,-0.348031,-0.756643,-0.095779,0
"Seth Thomas 13 1/2"" Wall Clock",Consumer,United States,Minneapolis,Minnesota,Furniture,Furnishings,-0.283238,-0.756643,-0.051746,0
Ibico Standard Transparent Covers,Consumer,United States,Minneapolis,Minnesota,Office Supplies,Binders,-0.31594,-0.756643,-0.05339,0
9-3/4 Diameter Round Wall Clock,Home Office,United States,New York City,New York,Furniture,Furnishings,-0.213936,-0.756643,0.05074,0
Trimflex Flexible Post Binders,Consumer,United States,San Francisco,California,Office Supplies,Binders,-0.286492,0.212153,-0.045668,1
Fellowes Basic Home/Office Series Surge Protectors,Corporate,United States,Saint Paul,Minnesota,Office Supplies,Appliances,-0.243862,-0.756643,-0.02592,0
Avery Personal Creations Heavyweight Cards,Home Office,United States,Chicago,Illinois,Office Supplies,Paper,-0.265132,0.212153,-0.025778,1
SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Home Office,United States,Chicago,Illinois,Technology,Accessories,-0.214825,0.212153,-0.168429,1
Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Consumer,United States,Rochester,Minnesota,Office Supplies,Paper,-0.330445,-0.756643,-0.0723,0
Logitech K350 2.4Ghz Wireless Keyboard,Consumer,United States,Aurora,Colorado,Technology,Accessories,0.014502,0.212153,-0.237068,2
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Consumer,United States,Aurora,Colorado,Furniture,Furnishings,-0.204581,0.212153,-0.138722,1
Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Consumer,United States,Charlotte,North Carolina,Technology,Accessories,-0.249908,0.212153,-0.047195,1
Speck Products Candyshell Flip Case,Consumer,United States,Charlotte,North Carolina,Technology,Phones,-0.323911,0.212153,-0.113373,1
Newell Chalk Holder,Consumer,United States,Charlotte,North Carolina,Office Supplies,Art,-0.363525,0.212153,-0.117751,1
Logitech Gaming G510s - Keyboard,Home Office,United States,Orland Park,Illinois,Technology,Accessories,0.176668,0.212153,0.16792,2
Magnifier Swing Arm Lamp,Corporate,United States,New York City,New York,Furniture,Furnishings,-0.301498,-0.756643,-0.075763,0
"Hunt PowerHouse Electric Pencil Sharpener, Blue",Consumer,United States,Urbandale,Iowa,Office Supplies,Art,-0.246942,-0.756643,-0.025054,0
"Avery Durable Plastic 1"" Binders",Consumer,United States,Urbandale,Iowa,Office Supplies,Binders,-0.325118,-0.756643,-0.065355,0
"OIC Colored Binder Clips, Assorted Sizes",Consumer,United States,Columbus,Ohio,Office Supplies,Fasteners,-0.304489,0.212153,-0.060287,1
"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Consumer,United States,Columbus,Ohio,Office Supplies,Envelopes,-0.361253,0.212153,-0.115283,1
Xerox 1921,Consumer,United States,Columbus,Ohio,Office Supplies,Paper,-0.330355,0.212153,-0.09035,1
"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Consumer,United States,Columbus,Ohio,Office Supplies,Envelopes,-0.159486,0.212153,0.065634,1
Artistic Insta-Plaque,Consumer,United States,Wilmington,Delaware,Furniture,Furnishings,-0.293347,-0.756643,-0.044019,0
DXL Angle-View Binders with Locking Rings by Samsill,Consumer,United States,Wilmington,Delaware,Office Supplies,Binders,-0.319341,-0.756643,-0.063091,0
"Companion Letter/Legal File, Black",Consumer,United States,Wilmington,Delaware,Office Supplies,Storage,-0.005292,-0.756643,0.148474,0
Globe Weis Peel & Seel First Class Envelopes,Consumer,United States,Wilmington,Delaware,Office Supplies,Envelopes,-0.184267,-0.756643,0.098622,0
KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Consumer,United States,Wilmington,Delaware,Technology,Phones,-0.259651,-0.756643,-0.038102,0
"Trav-L-File Heavy-Duty Shuttle II, Black",Consumer,United States,Phoenix,Arizona,Office Supplies,Storage,0.022679,0.212153,0.007864,2
"Global Task Chair, Black",Home Office,United States,Los Angeles,California,Furniture,Chairs,-0.238175,0.212153,-0.16144,1
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Home Office,United States,Los Angeles,California,Furniture,Furnishings,0.013963,-0.756643,-0.010311,0
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Corporate,United States,Columbus,Ohio,Technology,Phones,-0.2726,1.18095,-0.173538,3
Xerox 1916,Corporate,United States,Columbus,Ohio,Office Supplies,Paper,-0.243181,0.212153,0.003019,1
Staples,Corporate,United States,Columbus,Ohio,Office Supplies,Fasteners,-0.334399,0.212153,-0.092567,1
Xerox 195,Consumer,United States,Roseville,California,Office Supplies,Paper,-0.336671,-0.756643,-0.081271,0
Xerox 1880,Consumer,United States,Roseville,California,Office Supplies,Paper,-0.31196,-0.756643,-0.051228,0
"Sanford Colorific Colored Pencils, 12/Box",Consumer,United States,Roseville,California,Office Supplies,Art,-0.350342,-0.756643,-0.107582,0
Ideal Clamps,Consumer,United States,Roseville,California,Office Supplies,Fasteners,-0.362376,-0.756643,-0.113926,0
GBC Wire Binding Strips,Consumer,United States,Roseville,California,Office Supplies,Binders,-0.246596,0.212153,-0.008518,1
Fiskars Softgrip Scissors,Consumer,United States,Roseville,California,Office Supplies,Supplies,-0.263117,-0.756643,-0.043588,0
Longer-Life Soft White Bulbs,Consumer,United States,Roseville,California,Furniture,Furnishings,-0.299637,-0.756643,-0.033978,0
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Corporate,United States,Philadelphia,Pennsylvania,Furniture,Furnishings,-0.235967,0.212153,-0.078152,1
Newell 343,Corporate,United States,San Francisco,California,Office Supplies,Art,-0.354674,-0.756643,-0.112169,0
Convenience Packs of Business Envelopes,Corporate,United States,San Francisco,California,Office Supplies,Envelopes,-0.351401,-0.756643,-0.100546,0
Xerox 1911,Corporate,United States,San Francisco,California,Office Supplies,Paper,-0.138248,-0.756643,0.172121,0
"Seth Thomas 14"" Putty-Colored Wall Clock",Home Office,United States,Newark,Ohio,Furniture,Furnishings,-0.218175,0.212153,-0.067225,1
Anker Astro 15000mAh USB Portable Charger,Corporate,United States,Franklin,Wisconsin,Technology,Phones,-0.128187,-0.756643,-0.096727,0
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Home Office,United States,Scottsdale,Arizona,Office Supplies,Appliances,-0.115431,0.212153,-0.046493,2
Jabra BIZ 2300 Duo QD Duo Corded Headset,Home Office,United States,Scottsdale,Arizona,Technology,Phones,-0.042801,0.212153,-0.057281,2
Southworth 25% Cotton Antique Laid Paper & Envelopes,Corporate,United States,San Jose,California,Office Supplies,Paper,-0.275151,-0.756643,-0.010185,0
Xerox 1883,Corporate,United States,San Jose,California,Office Supplies,Paper,-0.199511,-0.756643,0.084877,0
"Tenex Personal Project File with Scoop Front Design, Black",Corporate,United States,San Jose,California,Office Supplies,Storage,-0.239048,-0.756643,-0.032564,0
Newell 311,Home Office,United States,Seattle,Washington,Office Supplies,Art,-0.358188,-0.756643,-0.114694,0
Global Deluxe High-Back Manager's Chair,Consumer,United States,Seattle,Washington,Furniture,Chairs,0.36538,0.212153,0.097416,2
Avery 519,Consumer,United States,Edmond,Oklahoma,Office Supplies,Labels,-0.345368,-0.756643,-0.093002,0
Xerox 1920,Consumer,United States,Los Angeles,California,Office Supplies,Paper,-0.359231,-0.756643,-0.110848,0
Lenovo 17-Key USB Numeric Keypad,Consumer,United States,Philadelphia,Pennsylvania,Technology,Accessories,-0.281563,0.212153,-0.116531,1
Staple envelope,Consumer,United States,Carlsbad,New Mexico,Office Supplies,Envelopes,-0.323257,-0.756643,-0.065353,0
Wilson Jones International Size A4 Ring Binders,Consumer,United States,Seattle,Washington,Office Supplies,Binders,-0.324412,0.212153,-0.080978,1
BIC Brite Liner Highlighters,Consumer,United States,San Antonio,Texas,Office Supplies,Art,-0.352884,0.212153,-0.110671,1
Sanford Liquid Accent Highlighters,Consumer,United States,San Antonio,Texas,Office Supplies,Art,-0.317377,0.212153,-0.093248,1
JBL Micro Wireless Portable Bluetooth Speaker,Consumer,United States,San Antonio,Texas,Technology,Phones,-0.137805,0.212153,-0.083921,1
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Consumer,United States,Los Angeles,California,Office Supplies,Paper,-0.335227,-0.756643,-0.080321,0
Xerox 1913,Consumer,United States,Los Angeles,California,Office Supplies,Paper,-0.190782,-0.756643,0.105033,0
"Global Value Steno Chair, Gray",Consumer,United States,Los Angeles,California,Furniture,Chairs,0.176963,0.212153,-0.031581,2
Avery 51,Corporate,United States,Chicago,Illinois,Office Supplies,Labels,-0.336478,0.212153,-0.094365,1
"Padded Folding Chairs, Black, 4/Carton",Consumer,United States,Newark,Ohio,Furniture,Chairs,0.267876,0.696552,-0.170734,3
Acme Rosewood Handle Letter Opener,Consumer,United States,Newark,Ohio,Office Supplies,Supplies,-0.343346,0.212153,-0.138436,1
"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Home Office,United States,New York City,New York,Office Supplies,Art,-0.363564,-0.756643,-0.116315,0
"Tenex File Box, Personal Filing Tote with Lid, Black",Corporate,United States,Decatur,Illinois,Office Supplies,Storage,-0.329007,0.212153,-0.11439,1
Nokia Lumia 521 (T-Mobile),Home Office,United States,Monroe,Louisiana,Technology,Phones,-0.128219,-0.756643,0.056902,0
HP Standard 104 key PS/2 Keyboard,Home Office,United States,Monroe,Louisiana,Technology,Accessories,-0.322294,-0.756643,-0.091385,0
Avery Poly Binder Pockets,Consumer,United States,Fairfield,Connecticut,Office Supplies,Binders,-0.357338,-0.756643,-0.107664,0
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Home Office,United States,Los Angeles,California,Technology,Accessories,-0.085136,-0.756643,-0.024217,0
"Personal Filing Tote with Lid, Black/Gray",Corporate,United States,Grand Prairie,Texas,Office Supplies,Storage,-0.309098,0.212153,-0.106445,1
Southworth 25% Cotton Antique Laid Paper & Envelopes,Corporate,United States,Grand Prairie,Texas,Office Supplies,Paper,-0.336709,0.212153,-0.095633,1
I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Home Office,United States,New York City,New York,Technology,Phones,-0.253682,-0.756643,-0.03656,0
Xerox 205,Home Office,United States,New York City,New York,Office Supplies,Paper,-0.285645,-0.756643,-0.01611,0
4009 Highlighters by Sanford,Home Office,United States,New York City,New York,Office Supplies,Art,-0.336896,-0.756643,-0.094301,0
Poly String Tie Envelopes,Corporate,United States,Redlands,California,Office Supplies,Envelopes,-0.345913,-0.756643,-0.093684,0
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Consumer,United States,Hamilton,Ohio,Office Supplies,Art,-0.35694,0.212153,-0.117197,1
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Consumer,United States,Hamilton,Ohio,Office Supplies,Art,-0.359122,0.212153,-0.115558,1
Decoflex Hanging Personal Folder File,Home Office,United States,Westfield,New Jersey,Office Supplies,Storage,-0.294599,-0.756643,-0.07099,0
"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Corporate,United States,Philadelphia,Pennsylvania,Office Supplies,Paper,-0.343064,0.212153,-0.097489,1
Southworth 25% Cotton Linen-Finish Paper & Envelopes,Consumer,United States,Akron,Ohio,Office Supplies,Paper,-0.333937,0.212153,-0.093328,1
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Consumer,United States,Denver,Colorado,Office Supplies,Appliances,-0.364655,0.212153,-0.121087,1
"Eldon 200 Class Desk Accessories, Burgundy",Corporate,United States,Franklin,Tennessee,Furniture,Furnishings,-0.312397,0.212153,-0.081049,1
Nortel Business Series Terminal T7208 Digital phone,Consumer,United States,Whittier,California,Technology,Phones,0.344841,0.212153,0.067535,2
"Tennsco Lockers, Gray",Consumer,United States,Saginaw,Michigan,Office Supplies,Storage,-0.23417,-0.756643,-0.097258,0
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Consumer,United States,Saginaw,Michigan,Technology,Phones,-0.157054,-0.756643,0.029788,0
"Avery Durable Slant Ring Binders, No Labels",Consumer,United States,Saginaw,Michigan,Office Supplies,Binders,-0.343282,-0.756643,-0.090393,0
"Advantus Push Pins, Aluminum Head",Consumer,United States,Saginaw,Michigan,Office Supplies,Fasteners,-0.284923,-0.756643,-0.053136,0
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Consumer,United States,Saginaw,Michigan,Office Supplies,Storage,-0.221221,-0.756643,-0.106627,0
Memorex Micro Travel Drive 8 GB,Corporate,United States,Dallas,Texas,Technology,Accessories,-0.335451,0.212153,-0.094587,1
Avery 505,Corporate,United States,Medina,Ohio,Office Supplies,Labels,-0.33083,0.212153,-0.084427,1
Speck Products Candyshell Flip Case,Corporate,United States,Medina,Ohio,Technology,Phones,-0.267767,1.18095,-0.185071,3
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Corporate,United States,Medina,Ohio,Technology,Accessories,-0.225082,0.212153,-0.103214,1
"Personal Filing Tote with Lid, Black/Gray",Consumer,United States,Los Angeles,California,Office Supplies,Storage,-0.219504,-0.756643,-0.0111,0
Adtran 1202752G1,Consumer,United States,Los Angeles,California,Technology,Phones,0.116361,0.212153,-0.025523,2
OIC Bulk Pack Metal Binder Clips,Consumer,United States,Dublin,Ohio,Office Supplies,Fasteners,-0.359867,0.212153,-0.114588,1
"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Consumer,United States,Dublin,Ohio,Office Supplies,Paper,-0.332396,0.212153,-0.087201,1
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Consumer,United States,Dublin,Ohio,Furniture,Furnishings,-0.252167,0.212153,-0.040863,1
Stanley Bostitch Contemporary Electric Pencil Sharpeners,Consumer,United States,Dublin,Ohio,Office Supplies,Art,-0.325233,0.212153,-0.110738,1
"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Corporate,United States,Detroit,Michigan,Office Supplies,Art,-0.365297,-0.756643,-0.118203,0
Rogers Deluxe File Chest,Corporate,United States,Detroit,Michigan,Office Supplies,Storage,-0.333558,-0.756643,-0.121397,0
Global Low Back Tilter Chair,Consumer,United States,Columbia,Tennessee,Furniture,Chairs,-0.109577,0.212153,-0.243038,1
"Global Push Button Manager's Chair, Indigo",Consumer,United States,Columbia,Tennessee,Furniture,Chairs,0.256474,0.212153,0.06482,2
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Home Office,United States,Tampa,Florida,Furniture,Furnishings,0.045272,0.212153,-0.122336,2
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Corporate,United States,Santa Clara,California,Office Supplies,Paper,-0.351882,-0.756643,-0.102049,0
Xerox 1957,Consumer,United States,Chicago,Illinois,Office Supplies,Paper,-0.327236,0.212153,-0.082224,1
PureGear Roll-On Screen Protector,Consumer,United States,Chicago,Illinois,Technology,Phones,-0.317506,0.212153,-0.074547,1
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Consumer,United States,Chicago,Illinois,Office Supplies,Art,-0.35694,0.212153,-0.117197,1
Safco Steel Mobile File Cart,Home Office,United States,Lakeville,Minnesota,Office Supplies,Storage,-0.10131,-0.756643,0.055595,0
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Home Office,United States,Lakeville,Minnesota,Office Supplies,Paper,-0.291999,-0.756643,-0.020136,0
Xerox 205,Home Office,United States,Lakeville,Minnesota,Office Supplies,Paper,-0.327236,-0.756643,-0.069223,0
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Consumer,United States,San Francisco,California,Furniture,Chairs,0.147157,0.212153,-0.002219,2
"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Consumer,United States,San Diego,California,Office Supplies,Paper,-0.356616,-0.756643,-0.107067,0
"Fellowes Personal Hanging Folder Files, Navy",Consumer,United States,New York City,New York,Office Supplies,Storage,-0.239529,-0.756643,-0.026017,0
"Belkin 19"" Vented Equipment Shelf, Black",Corporate,United States,Chicago,Illinois,Office Supplies,Storage,-0.23666,0.212153,-0.205847,1
"Tenex Personal Project File with Scoop Front Design, Black",Corporate,United States,Chicago,Illinois,Office Supplies,Storage,-0.282308,0.212153,-0.105072,1
Sabrent 4-Port USB 2.0 Hub,Consumer,United States,New York City,New York,Technology,Accessories,-0.336141,-0.756643,-0.092769,0
Safco Industrial Shelving,Consumer,United States,New York City,New York,Office Supplies,Storage,-0.013331,-0.756643,-0.093962,0
Acco 3-Hole Punch,Consumer,United States,New York City,New York,Office Supplies,Binders,-0.340714,0.212153,-0.096158,1
Cisco Small Business SPA 502G VoIP phone,Consumer,United States,Chicago,Illinois,Technology,Phones,0.157837,0.212153,0.000268,2
Microsoft Sculpt Comfort Mouse,Consumer,United States,Brentwood,California,Technology,Accessories,-0.24062,-0.756643,0.027744,0
"Quartet Omega Colored Chalk, 12/Pack",Corporate,United States,Chapel Hill,North Carolina,Office Supplies,Art,-0.346337,0.212153,-0.102142,1
Bagged Rubber Bands,Consumer,United States,Morristown,New Jersey,Office Supplies,Fasteners,-0.356696,-0.756643,-0.121045,0
Safco Commercial Shelving,Corporate,United States,Cincinnati,Ohio,Office Supplies,Storage,-0.309123,0.212153,-0.154103,1
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Corporate,United States,Cincinnati,Ohio,Office Supplies,Envelopes,-0.276441,0.212153,-0.030164,1
Regeneration Desk Collection,Consumer,United States,San Francisco,California,Furniture,Furnishings,-0.360355,-0.756643,-0.112418,0
Presstex Flexible Ring Binders,Consumer,United States,San Francisco,California,Office Supplies,Binders,-0.351305,0.212153,-0.104854,1
