Product Name,Segment,Country,State,Category,Sub-Category,Sales,Discount,Profit,Cluster
Lumber Crayons,Consumer,United States,Pennsylvania,Office Supplies,Art,-0.517778,0.0,-0.186862,1
Easy-staple paper,Home Office,United States,Texas,Office Supplies,Paper,-0.252978,0.0,0.046503,2
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Home Office,United States,Texas,Office Supplies,Envelopes,0.289251,0.0,0.963036,0
"Global Fabric Manager's Chair, Dark Gray",Home Office,United States,Texas,Furniture,Chairs,0.525166,0.255488,-0.89687,2
Plantronics HL10 Handset Lifter,Home Office,United States,Texas,Technology,Phones,0.72672,0.0,1.189712,0
Panasonic Kx-TS550,Corporate,United States,Illinois,Technology,Phones,0.388955,0.0,0.28568,2
"Eldon Base for stackable storage shelf, platinum",Corporate,United States,California,Office Supplies,Storage,0.142849,-1.0,-0.174104,3
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Corporate,United States,Florida,Office Supplies,Storage,0.223396,0.0,0.032519,2
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Corporate,United States,Minnesota,Technology,Accessories,-0.069041,-1.0,0.401598,3
Wilson Jones Leather-Like Binders with DublLock Round Rings,Corporate,United States,Minnesota,Office Supplies,Binders,-0.474114,-1.0,-0.016737,3
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Consumer,United States,Michigan,Office Supplies,Storage,0.524996,-1.0,-0.006838,3
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Consumer,United States,Delaware,Technology,Accessories,-0.07785,-1.0,-0.135453,3
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Consumer,United States,Delaware,Technology,Phones,-0.379859,-1.0,-0.093308,3
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Consumer,United States,Indiana,Office Supplies,Binders,-0.144967,-1.0,0.336439,3
Avery 485,Consumer,United States,Indiana,Office Supplies,Labels,0.128884,-1.0,0.960159,0
Longer-Life Soft White Bulbs,Consumer,United States,Indiana,Furniture,Furnishings,-0.917212,-1.0,-0.20849,3
"Global Leather Task Chair, Black",Consumer,United States,Indiana,Furniture,Chairs,0.199706,-1.0,0.305228,3
Advantus Push Pins,Corporate,United States,New York,Office Supplies,Fasteners,-0.531537,-1.0,-0.087742,3
Home/Office Personal File Carts,Consumer,United States,New York,Office Supplies,Storage,0.519045,-1.0,1.560039,0
Xerox 232,Consumer,United States,New York,Office Supplies,Paper,-0.213458,-1.0,0.249416,3
Novimex Turbo Task Chair,Consumer,United States,New York,Furniture,Chairs,0.673498,-0.387938,-0.057073,2
"Array Parchment Paper, Assorted Colors",Consumer,United States,New York,Office Supplies,Paper,-0.551587,-1.0,-0.061051,3
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Consumer,United States,New York,Technology,Accessories,-0.245556,-1.0,-0.195888,3
Plastic Binding Combs,Consumer,United States,New York,Office Supplies,Binders,-0.04744,0.0,0.278663,2
Prang Dustless Chalk Sticks,Consumer,United States,New York,Office Supplies,Art,-1.414207,-1.0,-0.286568,3
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Consumer,United States,California,Technology,Accessories,-0.568953,-1.0,-0.091586,3
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Consumer,United States,California,Office Supplies,Binders,-0.308392,0.0,0.025242,2
Xerox 1943,Consumer,United States,California,Office Supplies,Paper,0.387828,-1.0,2.158255,0
Luxo Economy Swing Arm Lamp,Consumer,United States,California,Furniture,Furnishings,0.152271,-1.0,0.493796,3
"Global Value Mid-Back Manager's Chair, Gray",Home Office,United States,Illinois,Furniture,Chairs,0.526995,0.255488,-0.899784,2
netTALK DUO VoIP Telephone Service,Corporate,United States,Arizona,Technology,Phones,0.438679,0.0,1.946006,0
"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Consumer,United States,Virginia,Office Supplies,Paper,0.132555,-1.0,0.97193,0
Avery Binding System Hidden Tab Executive Style Index Sets,Consumer,United States,New York,Office Supplies,Binders,-1.03641,0.0,-0.253617,1
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Consumer,United States,Michigan,Office Supplies,Paper,-0.437041,-1.0,0.003508,3
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Consumer,United States,Tennessee,Furniture,Furnishings,0.229155,0.0,-0.272755,2
Safco Industrial Wire Shelving System,Consumer,United States,Tennessee,Office Supplies,Storage,0.116036,0.0,-1.014689,2
Economy Binders,Corporate,United States,Texas,Office Supplies,Binders,-1.507336,0.749016,-0.390598,1
"6"" Cubicle Wall Clock, Black",Corporate,United States,Texas,Furniture,Furnishings,-0.724766,0.637883,-0.5386,1
"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Corporate,United States,Texas,Office Supplies,Storage,-0.285968,0.0,-0.217046,2
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,United States,Texas,Furniture,Furnishings,-0.431503,0.637883,-0.870936,1
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Corporate,United States,Alabama,Office Supplies,Appliances,0.518338,-1.0,1.704706,0
Avery Heavy-Duty EZD  Binder With Locking Rings,Corporate,United States,Alabama,Office Supplies,Binders,-0.492054,-1.0,-0.022957,3
"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Consumer,United States,California,Office Supplies,Art,-0.541729,-1.0,-0.16392,3
"Sortfiler Multipurpose Personal File Organizer, Black",Consumer,United States,California,Office Supplies,Storage,-0.387896,-1.0,-0.089693,3
Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Corporate,United States,North Carolina,Office Supplies,Envelopes,0.505399,0.0,1.93959,0
Novimex Swivel Fabric Task Chair,Consumer,United States,South Carolina,Furniture,Chairs,0.653428,-1.0,0.884311,0
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Consumer,United States,Minnesota,Technology,Accessories,-0.41659,-1.0,-0.068054,3
Avery 511,Consumer,United States,Minnesota,Office Supplies,Labels,-0.917212,-1.0,-0.20849,3
Eldon Portable Mobile Manager,Home Office,United States,Texas,Office Supplies,Storage,0.416603,0.0,0.188165,2
Turquoise Lead Holder with Pocket Clip,Corporate,United States,California,Office Supplies,Art,-0.414261,-1.0,-0.074017,3
Panasonic Kx-TS550,Corporate,United States,California,Technology,Phones,0.120375,0.0,-0.014118,2
Xerox 1995,Corporate,United States,California,Office Supplies,Paper,-0.896002,-1.0,-0.202849,3
Xerox 1999,Consumer,United States,Minnesota,Office Supplies,Paper,-0.601332,-1.0,-0.089048,3
"Seth Thomas 13 1/2"" Wall Clock",Consumer,United States,Minnesota,Furniture,Furnishings,-0.008634,-1.0,0.284922,3
Ibico Standard Transparent Covers,Consumer,United States,Minnesota,Office Supplies,Binders,-0.206327,-1.0,0.271024,3
Flexible Leather- Look Classic Collection Ring Binder,Home Office,United States,Oregon,Office Supplies,Binders,-0.950881,0.701566,-0.460933,1
9-3/4 Diameter Round Wall Clock,Home Office,United States,New York,Furniture,Furnishings,0.227103,-1.0,1.146357,0
Trimflex Flexible Post Binders,Consumer,United States,California,Office Supplies,Binders,-0.024352,0.0,0.336287,2
Fellowes Basic Home/Office Series Surge Protectors,Corporate,United States,Minnesota,Office Supplies,Appliances,0.142849,-1.0,0.502875,3
Avery Personal Creations Heavyweight Cards,Home Office,United States,Illinois,Office Supplies,Paper,0.068631,0.0,0.504069,2
SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Home Office,United States,Illinois,Technology,Accessories,0.22486,0.0,-0.729263,2
Avery Hidden Tab Dividers for Binding Systems,Home Office,United States,Illinois,Office Supplies,Binders,-1.393456,0.749016,-0.432487,1
Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Consumer,United States,Minnesota,Office Supplies,Paper,-0.340649,-1.0,0.110834,3
Logitech K350 2.4Ghz Wireless Keyboard,Consumer,United States,Colorado,Technology,Accessories,0.5688,0.0,-1.351221,2
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Consumer,United States,Colorado,Furniture,Furnishings,0.249901,0.0,-0.462854,2
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Consumer,United States,Colorado,Office Supplies,Binders,-0.159692,0.701566,-1.310109,1
Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Consumer,United States,North Carolina,Technology,Accessories,0.123211,0.0,0.323391,2
Speck Products Candyshell Flip Case,Consumer,United States,North Carolina,Technology,Phones,-0.274547,0.0,-0.240034,2
Newell Chalk Holder,Consumer,United States,North Carolina,Office Supplies,Art,-1.169697,0.0,-0.277906,1
Logitech Gaming G510s - Keyboard,Home Office,United States,Illinois,Technology,Accessories,0.69567,0.0,2.123774,0
Magnifier Swing Arm Lamp,Corporate,United States,New York,Furniture,Furnishings,-0.106523,-1.0,0.081432,3
"Hunt PowerHouse Electric Pencil Sharpener, Blue",Consumer,United States,Iowa,Office Supplies,Art,0.132972,-1.0,0.510168,3
"Avery Durable Plastic 1"" Binders",Consumer,United States,Iowa,Office Supplies,Binders,-0.285968,-1.0,0.169732,3
"OIC Colored Binder Clips, Assorted Sizes",Consumer,United States,Ohio,Office Supplies,Fasteners,-0.12521,0.0,0.212663,2
"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Consumer,United States,Ohio,Office Supplies,Envelopes,-1.027324,0.0,-0.256533,1
Xerox 1921,Consumer,United States,Ohio,Office Supplies,Paper,-0.339663,0.0,-0.042707,2
"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Consumer,United States,Ohio,Office Supplies,Envelopes,0.343217,0.0,1.27094,0
Artistic Insta-Plaque,Consumer,United States,Delaware,Furniture,Furnishings,-0.059734,-1.0,0.350219,3
DXL Angle-View Binders with Locking Rings by Samsill,Consumer,United States,Delaware,Office Supplies,Binders,-0.234025,-1.0,0.188917,3
"Companion Letter/Legal File, Black",Consumer,United States,Delaware,Office Supplies,Storage,0.549436,-1.0,1.961956,0
Globe Weis Peel & Seel First Class Envelopes,Consumer,United States,Delaware,Office Supplies,Envelopes,0.294957,-1.0,1.546467,0
KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Consumer,United States,Delaware,Technology,Phones,0.089211,-1.0,0.400165,3
Global Deluxe High-Back Manager's Chair,Home Office,United States,Texas,Furniture,Chairs,0.89311,0.255488,-0.644071,2
"Avery Durable Slant Ring Binders, No Labels",Consumer,United States,Arizona,Office Supplies,Binders,-1.292043,0.701566,-0.38668,1
"Trav-L-File Heavy-Duty Shuttle II, Black",Consumer,United States,Arizona,Office Supplies,Storage,0.576487,0.0,0.78699,0
"Global Task Chair, Black",Home Office,United States,California,Furniture,Chairs,0.160415,0.0,-0.66636,2
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Home Office,United States,California,Furniture,Furnishings,0.568287,-1.0,0.634265,0
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Corporate,United States,Ohio,Technology,Phones,0.038648,0.429282,-0.775312,2
Xerox 1916,Corporate,United States,Ohio,Office Supplies,Paper,0.144995,0.0,0.7463,0
Staples,Corporate,United States,Ohio,Office Supplies,Fasteners,-0.386592,0.0,-0.061619,1
Xerox 195,Consumer,United States,California,Office Supplies,Paper,-0.41553,-1.0,0.034611,3
Xerox 1880,Consumer,United States,California,Office Supplies,Paper,-0.176205,-1.0,0.289304,3
"Sanford Colorific Colored Pencils, 12/Box",Consumer,United States,California,Office Supplies,Art,-0.651683,-1.0,-0.190164,3
Ideal Clamps,Consumer,United States,California,Office Supplies,Fasteners,-1.092262,-1.0,-0.24481,3
GBC Wire Binding Strips,Consumer,United States,California,Office Supplies,Binders,0.134097,0.0,0.649344,2
Fiskars Softgrip Scissors,Consumer,United States,California,Office Supplies,Supplies,0.07633,-1.0,0.353853,3
Longer-Life Soft White Bulbs,Consumer,United States,California,Furniture,Furnishings,-0.095331,-1.0,0.434952,3
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Corporate,United States,Pennsylvania,Furniture,Furnishings,0.167016,0.0,0.061135,2
Newell 343,Corporate,United States,California,Office Supplies,Art,-0.765633,-1.0,-0.229649,3
Convenience Packs of Business Envelopes,Corporate,United States,California,Office Supplies,Envelopes,-0.676895,-1.0,-0.129816,3
Xerox 1911,Corporate,United States,California,Office Supplies,Paper,0.379933,-1.0,2.158713,0
Safco Industrial Wire Shelving,Consumer,United States,California,Office Supplies,Storage,0.931042,-1.0,0.415519,0
"Seth Thomas 14"" Putty-Colored Wall Clock",Home Office,United States,Ohio,Furniture,Furnishings,0.216282,0.0,0.153882,2
Anker Astro 15000mAh USB Portable Charger,Corporate,United States,Wisconsin,Technology,Phones,0.396078,-1.0,-0.097147,3
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Home Office,United States,Arizona,Office Supplies,Appliances,0.415538,0.0,0.32932,2
Jabra BIZ 2300 Duo QD Duo Corded Headset,Home Office,United States,Arizona,Technology,Phones,0.509418,0.0,0.238103,2
Southworth 25% Cotton Antique Laid Paper & Envelopes,Corporate,United States,California,Office Supplies,Paper,0.027834,-1.0,0.635321,3
Xerox 1883,Corporate,United States,California,Office Supplies,Paper,0.261685,-1.0,1.431725,0
"Tenex Personal Project File with Scoop Front Design, Black",Corporate,United States,California,Office Supplies,Storage,0.157772,-1.0,0.446875,3
Newell 311,Home Office,United States,Washington,Office Supplies,Art,-0.886395,-1.0,-0.251437,3
Global Deluxe High-Back Manager's Chair,Consumer,United States,Washington,Furniture,Chairs,0.799853,0.0,1.5364,0
Avery 519,Consumer,United States,Oklahoma,Office Supplies,Labels,-0.54983,-1.0,-0.065329,3
Xerox 1920,Consumer,United States,California,Office Supplies,Paper,-0.929597,-1.0,-0.218259,3
Lenovo 17-Key USB Numeric Keypad,Consumer,United States,Pennsylvania,Technology,Accessories,-0.000788,0.0,-0.267334,2
Staple envelope,Consumer,United States,New Mexico,Office Supplies,Envelopes,-0.268485,-1.0,0.169746,3
Wilson Jones International Size A4 Ring Binders,Consumer,United States,Washington,Office Supplies,Binders,-0.279246,0.0,0.037109,2
BIC Brite Liner Highlighters,Consumer,United States,Texas,Office Supplies,Art,-0.714863,0.0,-0.216737,1
SAFCO Arco Folding Chair,Consumer,United States,Texas,Furniture,Chairs,1.23922,0.255488,-1.272859,2
Sanford Liquid Accent Highlighters,Consumer,United States,Texas,Office Supplies,Art,-0.217799,0.0,-0.067435,2
JBL Micro Wireless Portable Bluetooth Speaker,Consumer,United States,Texas,Technology,Phones,0.38066,0.0,0.012066,2
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Consumer,United States,California,Office Supplies,Paper,-0.396902,-1.0,0.042692,3
Xerox 1913,Consumer,United States,California,Office Supplies,Paper,0.281111,-1.0,1.599957,0
"Global Value Steno Chair, Gray",Consumer,United States,California,Furniture,Chairs,0.695862,0.0,0.45516,2
Avery 51,Corporate,United States,Illinois,Office Supplies,Labels,-0.412997,0.0,-0.07697,1
"Padded Folding Chairs, Black, 4/Carton",Consumer,United States,Ohio,Furniture,Chairs,0.750188,0.255488,-0.750032,2
Acme Rosewood Handle Letter Opener,Consumer,United States,Ohio,Office Supplies,Supplies,-0.514542,0.0,-0.460305,1
"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Home Office,United States,New York,Office Supplies,Art,-1.172529,-1.0,-0.265456,3
"Tenex File Box, Personal Filing Tote with Lid, Black",Corporate,United States,Illinois,Office Supplies,Storage,-0.325149,0.0,-0.248814,2
Nokia Lumia 521 (T-Mobile),Home Office,United States,Louisiana,Technology,Phones,0.396028,-1.0,1.197912,0
HP Standard 104 key PS/2 Keyboard,Home Office,United States,Louisiana,Technology,Accessories,-0.259732,-1.0,-0.051537,3
Avery Poly Binder Pockets,Consumer,United States,Connecticut,Office Supplies,Binders,-0.854014,-1.0,-0.190868,3
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Home Office,United States,California,Technology,Accessories,0.457824,-1.0,0.517216,0
"Personal Filing Tote with Lid, Black/Gray",Corporate,United States,Texas,Office Supplies,Storage,-0.155875,0.0,-0.180394,2
Southworth 25% Cotton Antique Laid Paper & Envelopes,Corporate,United States,Texas,Office Supplies,Paper,-0.416038,0.0,-0.0878,1
I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Home Office,United States,New York,Technology,Phones,0.110406,-1.0,0.413174,3
Xerox 205,Home Office,United States,New York,Office Supplies,Paper,-0.020197,-1.0,0.585478,3
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Home Office,United States,New York,Furniture,Bookcases,0.907355,0.0,1.376001,0
4009 Highlighters by Sanford,Home Office,United States,New York,Office Supplies,Art,-0.418505,-1.0,-0.076423,3
Poly String Tie Envelopes,Corporate,United States,California,Office Supplies,Envelopes,-0.559881,-1.0,-0.071152,3
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Consumer,United States,Ohio,Office Supplies,Art,-0.839635,0.0,-0.273095,1
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Consumer,United States,Ohio,Office Supplies,Art,-0.924878,0.0,-0.25891,1
Decoflex Hanging Personal Folder File,Home Office,United States,New Jersey,Office Supplies,Storage,-0.066561,-1.0,0.121948,3
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Corporate,United States,Pennsylvania,Office Supplies,Binders,-1.213823,0.701566,-0.402869,1
"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Corporate,United States,Pennsylvania,Office Supplies,Paper,-0.50984,0.0,-0.103661,1
Southworth 25% Cotton Linen-Finish Paper & Envelopes,Consumer,United States,Ohio,Office Supplies,Paper,-0.380947,0.0,-0.068113,1
"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Consumer,United States,Colorado,Office Supplies,Appliances,-1.260789,0.0,-0.306906,1
"Eldon 200 Class Desk Accessories, Burgundy",Corporate,United States,Tennessee,Furniture,Furnishings,-0.179398,0.0,0.036499,2
Nortel Business Series Terminal T7208 Digital phone,Consumer,United States,California,Technology,Phones,0.790008,0.0,1.286828,0
"Tennsco Lockers, Gray",Consumer,United States,Michigan,Office Supplies,Storage,0.172303,-1.0,-0.101687,3
Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Consumer,United States,Michigan,Technology,Phones,0.34762,-1.0,0.970893,0
"Avery Durable Slant Ring Binders, No Labels",Consumer,United States,Michigan,Office Supplies,Binders,-0.513469,-1.0,-0.043075,3
"Advantus Push Pins, Aluminum Head",Consumer,United States,Michigan,Office Supplies,Fasteners,-0.016691,-1.0,0.273172,3
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Consumer,United States,Michigan,Office Supplies,Storage,0.208305,-1.0,-0.181963,3
Memorex Micro Travel Drive 8 GB,Corporate,United States,Texas,Technology,Accessories,-0.399745,0.0,-0.078866,1
Avery 505,Corporate,United States,Ohio,Office Supplies,Labels,-0.344903,0.0,0.00776,2
Speck Products Candyshell Flip Case,Corporate,United States,Ohio,Technology,Phones,0.058323,0.429282,-0.879456,2
Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Corporate,United States,Ohio,Technology,Accessories,0.197936,0.0,-0.152674,2
"Personal Filing Tote with Lid, Black/Gray",Consumer,United States,California,Office Supplies,Storage,0.212823,-1.0,0.62763,0
Adtran 1202752G1,Consumer,United States,California,Technology,Phones,0.653921,0.0,0.506219,2
OIC Bulk Pack Metal Binder Clips,Consumer,United States,Ohio,Office Supplies,Fasteners,-0.958106,0.0,-0.250526,1
"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Consumer,United States,Ohio,Office Supplies,Paper,-0.362677,0.0,-0.015864,2
Ibico Standard Transparent Covers,Consumer,United States,Ohio,Office Supplies,Binders,-0.421158,0.701566,-0.846566,1
"Executive Impressions 14"" Two-Color Numerals Wall Clock",Consumer,United States,Ohio,Furniture,Furnishings,0.115599,0.0,0.376862,2
Stanley Bostitch Contemporary Electric Pencil Sharpeners,Consumer,United States,Ohio,Office Supplies,Art,-0.287078,0.0,-0.217311,2
"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Corporate,United States,Michigan,Office Supplies,Art,-1.321581,-1.0,-0.281824,3
Rogers Deluxe File Chest,Corporate,United States,Michigan,Office Supplies,Storage,-0.37638,-1.0,-0.309614,3
Global Low Back Tilter Chair,Consumer,United States,Tennessee,Furniture,Chairs,0.424118,0.0,-1.405577,2
"Global Push Button Manager's Chair, Indigo",Consumer,United States,Tennessee,Furniture,Chairs,0.74385,0.0,1.26413,0
GBC Instant Index System for Binding Systems,Corporate,United States,North Carolina,Office Supplies,Binders,-0.446106,0.701566,-0.792179,1
GBC Instant Index System for Binding Systems,Home Office,United States,Florida,Office Supplies,Binders,-0.97754,0.701566,-0.451957,1
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Home Office,United States,Florida,Furniture,Furnishings,0.59686,0.0,-0.317812,2
Logitech P710e Mobile Speakerphone,Home Office,United States,Florida,Technology,Accessories,0.9028,0.0,-0.611301,2
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Corporate,United States,California,Office Supplies,Paper,-0.688861,-1.0,-0.142694,3
Xerox 1957,Consumer,United States,Illinois,Office Supplies,Paper,-0.306832,0.0,0.026506,2
Staple-based wall hangings,Consumer,United States,Illinois,Furniture,Furnishings,-0.645495,0.637883,-0.494723,1
PureGear Roll-On Screen Protector,Consumer,United States,Illinois,Technology,Phones,-0.218839,0.0,0.091757,2
Eldon 100 Class Desk Accessories,Consumer,United States,Illinois,Furniture,Furnishings,-1.089877,0.637883,-0.424561,1
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Consumer,United States,Illinois,Office Supplies,Art,-0.839635,0.0,-0.273095,1
Safco Steel Mobile File Cart,Home Office,United States,Minnesota,Office Supplies,Storage,0.435887,-1.0,1.186984,0
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Home Office,United States,Minnesota,Office Supplies,Paper,-0.052515,-1.0,0.551585,3
Xerox 205,Home Office,United States,Minnesota,Office Supplies,Paper,-0.306832,-1.0,0.136941,3
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Consumer,United States,California,Furniture,Chairs,0.675898,0.0,0.702298,0
"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Consumer,United States,California,Office Supplies,Paper,-0.828258,-1.0,-0.185736,3
"Fellowes Personal Hanging Folder Files, Navy",Consumer,United States,New York,Office Supplies,Storage,0.156307,-1.0,0.502055,3
Eldon 100 Class Desk Accessories,Corporate,United States,Illinois,Furniture,Furnishings,-0.629556,0.637883,-0.640734,1
"Belkin 19"" Vented Equipment Shelf, Black",Corporate,United States,Illinois,Office Supplies,Storage,0.164956,0.0,-1.067564,2
"Tenex Personal Project File with Scoop Front Design, Black",Corporate,United States,Illinois,Office Supplies,Storage,-0.004255,0.0,-0.168608,2
Logitech Mobile Speakerphone P710e - speaker phone,Corporate,United States,Illinois,Technology,Phones,0.918779,0.0,1.722087,0
Sabrent 4-Port USB 2.0 Hub,Consumer,United States,New York,Technology,Accessories,-0.408601,-1.0,-0.063346,3
Safco Industrial Shelving,Consumer,United States,New York,Office Supplies,Storage,0.541245,-1.0,-0.073525,3
Acco 3-Hole Punch,Consumer,United States,New York,Office Supplies,Binders,-0.472653,0.0,-0.092287,1
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Corporate,United States,Texas,Office Supplies,Appliances,-1.425325,0.749016,-0.486749,1
Cisco Small Business SPA 502G VoIP phone,Consumer,United States,Illinois,Technology,Phones,0.683191,0.0,0.72319,0
Microsoft Sculpt Comfort Mouse,Consumer,United States,California,Technology,Accessories,0.152963,-1.0,0.953768,0
"Quartet Omega Colored Chalk, 12/Pack",Corporate,United States,North Carolina,Office Supplies,Art,-0.567854,0.0,-0.143484,1
Bagged Rubber Bands,Consumer,United States,New Jersey,Office Supplies,Fasteners,-0.831047,-1.0,-0.306538,3
