@relation forestfires-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_clustered

@attribute Instance_number numeric
@attribute X numeric
@attribute Y numeric
@attribute month {mar,oct,aug,sep,apr,jun,jul,feb,jan,dec,may,nov}
@attribute day {fri,tue,sat,sun,mon,wed,thu}
@attribute FFMC numeric
@attribute DMC numeric
@attribute DC numeric
@attribute ISI numeric
@attribute temp numeric
@attribute RH numeric
@attribute wind numeric
@attribute rain numeric
@attribute area numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
138,1,1,jul,tue,0.865806,0.162646,0.358274,0.069519,0.508039,0.317647,0.255556,0,0.36,cluster2
139,0,0.285714,sep,tue,0.932903,0.442453,0.802979,0.124777,0.62701,0.270588,0.2,0,0.43,cluster2
140,0.125,0.428571,sep,mon,0.931613,0.432116,0.795825,0.124777,0.633441,0.282353,0.155556,0,0.47,cluster5
141,0,0,aug,wed,0.990968,0.340455,0.592706,0.235294,0.678457,0.188235,0.455556,0,0.55,cluster4
142,0.875,0.571429,aug,fri,0.92129,0.368367,0.612056,0.222816,0.610932,0.423529,0.944444,0,0.61,cluster3
143,0,0,jul,sat,0.92,0.172984,0.33822,0.15508,0.463023,0.447059,0.555556,0,0.71,cluster1
144,0.125,0.428571,aug,wed,0.990968,0.340455,0.592706,0.235294,0.694534,0.2,0.555556,0,0.77,cluster4
145,0.625,0.428571,aug,thu,0.987097,0.450034,0.66952,0.185383,0.810289,0.082353,0.4,0,0.9,cluster4
146,0.5,0.285714,mar,mon,0.92129,0.133012,0.092295,0.110517,0.353698,0.294118,0.555556,0,0.95,cluster1
147,0.875,0.142857,sep,tue,0.847742,0.249139,0.778703,0.057041,0.707395,0.152941,0.355556,0,0.96,cluster2
148,0.125,0,aug,tue,0.981935,0.3694,0.749619,0.30303,0.488746,0.329412,0.7,0,1.07,cluster4
149,0.875,0.571429,sep,thu,0.967742,0.274983,0.7943,0.319073,0.691318,0.117647,0.455556,0,1.12,cluster0
150,0.625,0.428571,jun,fri,0.952258,0.190558,0.498886,0.12656,0.675241,0.282353,0.555556,0,1.19,cluster3
151,1,1,jul,sun,0.92129,0.232598,0.407294,0.128342,0.726688,0.164706,0.2,0,1.36,cluster4
152,0.25,0.285714,jul,sat,0.92129,0.17264,0.488097,0.110517,0.720257,0.329412,0.155556,0,1.43,cluster1
153,0.5,0.285714,sep,fri,0.975484,0.289456,0.802627,0.283422,0.575563,0.376471,0.5,0,1.46,cluster2
154,0,0.428571,sep,sat,0.963871,0.497243,0.836754,0.144385,0.881029,0.141176,0.255556,0,1.46,cluster0
155,0.75,0.285714,aug,sun,0.981935,0.3694,0.749619,0.30303,0.456592,0.376471,0.1,0,1.56,cluster4
156,0.125,0.285714,sep,sat,0.963871,0.497243,0.836754,0.144385,0.848875,0.141176,0.2,0,1.61,cluster0
157,0.125,0,aug,wed,0.947097,0.379394,0.757828,0.171123,0.5209,0.352941,0.355556,0,1.63,cluster4
158,0.125,0.285714,aug,wed,0.947097,0.379394,0.757828,0.171123,0.588424,0.235294,0.4,0,1.64,cluster4
159,0.75,0.285714,sep,fri,0.950968,0.402481,0.774129,0.217469,0.540193,0.223529,0.6,0,1.69,cluster2
160,0.75,0.285714,mar,mon,0.92129,0.133012,0.092295,0.110517,0.446945,0.164706,0.3,0,1.75,cluster1
161,0.625,0.285714,aug,thu,0.987097,0.450034,0.66952,0.185383,0.581994,0.305882,0.4,0,1.9,cluster4
162,0.625,0.142857,mar,sat,0.927742,0.168849,0.108479,0.139037,0.418006,0.188235,0.9,0,1.94,cluster1
163,0.875,0.571429,sep,sat,0.952258,0.413508,0.781635,0.153298,0.501608,0.482353,0.155556,0,1.95,cluster2
164,0.875,0.428571,sep,sun,0.916129,0.30634,0.816817,0.085561,0.501608,0.611765,0.2,0,2.01,cluster2
165,0.625,0.428571,mar,thu,0.854194,0.058925,0.055236,0.053476,0.099678,0.647059,0.455556,0,2.14,cluster1
166,0.625,0.428571,aug,wed,0.947097,0.379394,0.757828,0.171123,0.463023,0.376471,0.055556,0,2.29,cluster4
167,0.625,0.428571,aug,wed,0.997419,0.434183,0.659787,0.294118,0.681672,0.211765,0.455556,0,2.51,cluster4
168,0.625,0.428571,mar,fri,0.935484,0.162646,0.10543,0.222816,0.398714,0.129412,1,0,2.53,cluster3
169,0.875,0.571429,aug,thu,0.987097,0.450034,0.66952,0.185383,0.594855,0.352941,0.2,0,2.55,cluster4
170,0.5,0.285714,sep,wed,0.957419,0.455548,0.811188,0.163993,0.633441,0.235294,0.155556,0,2.57,cluster0
171,0.875,0.571429,aug,wed,0.863226,0.307719,0.705641,0.117647,0.488746,0.411765,0.4,0,2.69,cluster4
172,0.75,0.285714,aug,sun,0.938065,0.486906,0.696024,0.188948,0.575563,0.282353,0.555556,0,2.74,cluster4
173,0.375,0.285714,sep,mon,0.931613,0.432116,0.795825,0.124777,0.498392,0.282353,0.2,0,3.07,cluster5
174,0,0.285714,aug,sat,0.922581,0.330117,0.722763,0.158645,0.385852,0.447059,0.155556,0,3.5,cluster4
175,0,0.285714,aug,sat,0.922581,0.330117,0.722763,0.158645,0.581994,0.282353,0.5,0,4.53,cluster4
176,0.625,0.428571,apr,thu,0.810323,0.027567,0.055471,0.048128,0.115756,0.458824,0.6,0,4.61,cluster1
177,0.125,0.428571,aug,sun,0.922581,0.339421,0.730972,0.112299,0.546624,0.341176,0.255556,0,4.69,cluster4
178,0.125,0.428571,sep,wed,0.92129,0.281875,0.853524,0.110517,0.517685,0.352941,0.2,0,4.88,cluster0
179,0.875,0.571429,aug,tue,0.904516,0.50379,0.711387,0.160428,0.392283,0.6,0.555556,0,5.23,cluster2
180,0,0.142857,sep,sun,0.950968,0.423846,0.789023,0.151515,0.697749,0.2,0.7,0,5.33,cluster0
181,0.875,0.571429,oct,mon,0.854194,0.109235,0.769673,0.053476,0.543408,0.2,0.4,0,5.44,cluster5
182,0.5,0.285714,feb,sun,0.87871,0.049966,0.047379,0.069519,0.327974,0.447059,0.2,0,6.38,cluster4
183,0.75,0.285714,oct,mon,0.941935,0.163336,0.807083,0.197861,0.469453,0.352941,0.455556,0,6.83,cluster5
184,0.875,0.571429,aug,fri,0.970323,0.463818,0.678785,0.269162,0.598071,0.223529,0.5,0,6.96,cluster4
185,0.125,0.428571,sep,tue,0.932903,0.442453,0.802979,0.124777,0.495177,0.364706,0.3,0,7.04,cluster2
186,0.875,0.571429,mar,sun,0.910968,0.172984,0.11059,0.171123,0.299035,0.282353,0.6,0,7.19,cluster1
187,0,0.428571,sep,mon,0.931613,0.432116,0.795825,0.124777,0.604502,0.317647,0.2,0,7.3,cluster5
188,0.625,0.285714,mar,sat,0.930323,0.140593,0.095579,0.14082,0.356913,0.317647,0.055556,0,7.4,cluster1
189,0.75,0.285714,mar,sun,0.929032,0.147829,0.099097,0.098039,0.299035,0.529412,0.4,0,8.24,cluster1
190,0.625,0.428571,mar,fri,0.935484,0.162646,0.10543,0.222816,0.305466,0.211765,0.4,0,8.31,cluster1
191,0.125,0.428571,aug,thu,0.987097,0.450034,0.66952,0.185383,0.707395,0.152941,0.255556,0,8.68,cluster0
192,0.125,0,aug,tue,0.981935,0.3694,0.749619,0.30303,0.720257,0.082353,0.455556,0,8.71,cluster4
193,0.375,0.428571,sep,wed,0.957419,0.455548,0.811188,0.163993,0.710611,0.117647,0.4,0,9.41,cluster0
194,0.125,0,aug,tue,0.981935,0.3694,0.749619,0.30303,0.720257,0.082353,0.455556,0,10.01,cluster4
195,0.125,0.428571,aug,fri,0.970323,0.463818,0.678785,0.269162,0.684887,0.247059,0.555556,0,10.02,cluster4
196,0.625,0.428571,apr,thu,0.810323,0.027567,0.055471,0.048128,0.115756,0.458824,0.6,0,10.93,cluster1
197,0.375,0.428571,sep,thu,0.957419,0.468298,0.819163,0.163993,0.620579,0,0.055556,0,11.06,cluster0
198,0.25,0.285714,sep,tue,0.932903,0.442453,0.802979,0.124777,0.376206,0.517647,0.655556,0,11.24,cluster2
199,0.125,0.285714,sep,mon,0.578065,0.240179,0.770963,0.01426,0.655949,0.270588,0.355556,0,11.32,cluster5
200,0,0.428571,sep,tue,0.932903,0.442453,0.802979,0.124777,0.623794,0.211765,0.2,0,11.53,cluster2
201,0.625,0.428571,mar,sun,0.92129,0.125775,0.088894,0.128342,0.327974,0.458824,0.355556,0,12.1,cluster1
202,0.75,0.285714,feb,sun,0.84129,0.026189,0.02838,0.037433,0.212219,0.623529,0.2,0,13.05,cluster4
203,0.875,0.571429,oct,wed,0.938065,0.126809,0.780931,0.092692,0.578778,0.258824,0.255556,0,13.7,cluster2
204,0.5,0.571429,mar,sat,0.927742,0.168849,0.108479,0.139037,0.414791,0.576471,0.4,0,13.99,cluster1
205,0.375,0.428571,sep,thu,0.957419,0.468298,0.819163,0.163993,0.639871,0.223529,0.155556,0,14.57,cluster0
206,0.125,0,aug,sat,0.965161,0.476568,0.687581,0.361854,0.665595,0.188235,0.755556,0,15.45,cluster4
207,0.75,0.428571,sep,tue,0.932903,0.442453,0.802979,0.124777,0.594855,0.258824,0.2,0,17.2,cluster2
208,0.625,0.428571,sep,fri,0.950968,0.402481,0.774129,0.217469,0.559486,0.211765,0.655556,0,19.23,cluster2
209,0.875,0.142857,sep,thu,0.967742,0.274983,0.7943,0.319073,0.675241,0.129412,0.5,0,23.41,cluster0
210,0.375,0.285714,oct,sat,0.927742,0.146795,0.796294,0.11943,0.5209,0.117647,0.3,0,24.23,cluster1
211,0.75,0.285714,aug,sat,0.965161,0.476568,0.687581,0.361854,0.093248,0.952941,0.6,0,26,cluster4
212,0.75,0.285714,sep,fri,0.975484,0.289456,0.802627,0.283422,0.575563,0.376471,0.5,0,26.13,cluster2
213,0.75,0.142857,mar,mon,0.889032,0.176085,0.112466,0.089127,0.282958,0.364706,0.6,0,27.35,cluster1
214,0.375,0.285714,mar,sat,0.941935,0.119573,0.085493,0.139037,0.475884,0.141176,0.5,0,28.66,cluster1
215,0.375,0.285714,mar,sat,0.941935,0.119573,0.085493,0.139037,0.475884,0.141176,0.5,0,28.66,cluster1
216,0.375,0.285714,sep,sun,0.950968,0.423846,0.789023,0.151515,0.472669,0.529412,0.1,0,29.48,cluster5
217,0,0.142857,sep,mon,0.901935,0.312543,0.823267,0.12656,0.327974,0.682353,0.655556,0,30.32,cluster5
218,0.375,0.428571,sep,wed,0.957419,0.455548,0.811188,0.163993,0.553055,0.047059,0.1,0,31.72,cluster0
219,0.625,0.428571,mar,mon,0.92129,0.133012,0.092295,0.110517,0.418006,0.141176,0.3,0,31.86,cluster1
220,0.875,0.571429,aug,sun,0.922581,0.339421,0.730972,0.112299,0.450161,0.517647,0.3,0,32.07,cluster4
221,0.25,0.285714,sep,fri,0.962581,0.482771,0.827958,0.247772,0.527331,0.4,0.355556,0,35.88,cluster0
