@relation VendaCarros-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_clustered

@attribute Instance_number numeric
@attribute DataNotaFiscal {04/10/2012,01/01/2012,02/02/2012,03/03/2012,04/04/2012,04/05/2012,04/06/2012,04/07/2012,04/08/2012,04/09/2012,04/11/2012,04/12/2012,02/01/2013,02/02/2013,02/03/2013,02/04/2013,02/05/2013,02/06/2013,02/07/2013,02/08/2013,02/09/2013,02/10/2013,02/11/2013,02/12/2013,01/02/2012,01/03/2012,01/04/2012,01/05/2012,01/06/2012,01/07/2012,01/08/2012,01/09/2012,01/10/2012,01/11/2012,01/12/2012,09/01/2013,10/01/2013,11/02/2013,12/03/2013,13/03/2013,14/03/2013,15/04/2013,16/04/2013,17/05/2013,18/05/2013,19/05/2013,20/06/2013,21/07/2013,22/07/2013,23/09/2013,24/10/2013,25/11/2013,26/11/2013,27/11/2013,04/10/2014,01/01/2014,02/02/2014,03/03/2014,04/04/2014,04/05/2014,04/06/2014,04/07/2014,04/08/2014,04/09/2014,04/11/2014,04/12/2014,02/01/2015,02/02/2015,02/03/2015,02/04/2015,02/05/2015,02/06/2015,02/07/2015,02/08/2015,02/09/2015,02/10/2015,02/11/2015,02/12/2015,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,09/01/2015,10/01/2015,11/02/2015,12/03/2015,13/03/2015,14/03/2015,15/04/2015,16/04/2015,17/05/2015,18/05/2015,19/05/2015,20/06/2015,21/07/2015,22/07/2015,23/09/2015,24/10/2015,25/11/2015,26/11/2015,27/11/2015}
@attribute Fabricante {'Rolls Royce','Aston Martin',Jaguar,Bentley,TVR,MGB,Triumph}
@attribute Estado {'São Paulo','Minas Gerais','Rio de Janeiro','Espírito Santo',Paraná,Bahia}
@attribute ValorVenda numeric
@attribute ValorCusto numeric
@attribute TotalDesconto numeric
@attribute CustoEntrega numeric
@attribute CustoMaoDeObra numeric
@attribute NomeCliente {'Aldo Motors','Honest John','Bright Orange',WheelsRUs,CunShut,'Les Arnaqueurs','Rocky Riding','Voitures Diplomatiques S.A.','Crippen & Co','Costa Del Speed',Karz,'Olde Englande','Impressive Wheels','Smooth Riders','Luxury Rentals','Premium Motor Vehicles','Chateau Moi','Vive la Vitesse!','Carosse Des Papes','Three Country Cars',Jungfrau,'Ambassador Cars','Embassy Motors','Style ‘N Ride','Sporty Types Corp',BritWheels,'Tweedy Wheels','Union Jack Sports Cars','British Luxury Automobile Corp','Buckingham Palace Car Services','Classy Car Sales'}
@attribute Modelo {Camargue,DBS,'Prata Ghost',DB7,DB9,DB4,Vantage,Vanquish,Rapide,Zagato,Wraith,'Prata Shadow','Prata Seraph',Phantom,XK,XJ6,XJ12,Continental,Arnage,Azure,'Turbo R',Tuscan,Cerbera,GT,TR4,TR5,TR7}
@attribute Cor {Vermelho,Azul,Verde,Prata,Púrpura,Preto}
@attribute Ano numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
21,02/07/2013,'Rolls Royce','São Paulo',0.503937,0.369775,0.346535,0.315068,0.761559,'Aldo Motors','Prata Ghost',Preto,2013,cluster1
22,02/08/2013,'Rolls Royce','São Paulo',0.677165,0.369775,0,0.589041,0.546691,'Honest John','Prata Shadow',Verde,2013,cluster2
23,02/09/2013,'Rolls Royce','São Paulo',0.982677,0.4591,0,0.287671,0.459655,'Bright Orange',Camargue,Púrpura,2013,cluster1
24,02/10/2013,'Rolls Royce','São Paulo',0.982677,0.4591,0,1,0.761559,WheelsRUs,'Prata Seraph',Vermelho,2013,cluster1
25,02/11/2013,'Rolls Royce','São Paulo',0.677165,0.4591,0.148515,1,0.157752,CunShut,'Prata Ghost',Vermelho,2013,cluster1
26,02/12/2013,'Rolls Royce','São Paulo',0.982677,0.369775,0,1,0.459655,WheelsRUs,Phantom,Verde,2013,cluster1
27,02/01/2013,'Aston Martin','São Paulo',0.982677,0.4591,0,0.315068,0.761559,WheelsRUs,DB9,Púrpura,2013,cluster1
28,02/02/2013,'Aston Martin','São Paulo',0.551181,0.4591,0,0.315068,0.739801,CunShut,DB4,Verde,2013,cluster1
29,02/03/2013,'Aston Martin','São Paulo',0.982677,0.4591,0,0.315068,0.639166,CunShut,DB9,Preto,2013,cluster1
30,02/04/2013,'Aston Martin','São Paulo',0.551181,0.4591,0,0.041096,0,'Bright Orange',DB4,Azul,2013,cluster1
31,02/05/2013,'Aston Martin','São Paulo',0.503937,0.4591,0.000002,0.315068,0.639166,'Bright Orange',DB4,Prata,2013,cluster1
32,02/06/2013,'Aston Martin','São Paulo',0.982677,0.369775,0.148515,0.287671,0.459655,'Honest John',Vanquish,Prata,2013,cluster2
33,02/07/2013,'Aston Martin','São Paulo',0.64252,0.369775,0.19802,0.287671,0.75884,'Aldo Motors',Vanquish,Verde,2013,cluster1
34,02/08/2013,'Aston Martin','São Paulo',0.677165,0.369775,0.247525,0.287671,0.67815,'Aldo Motors',DB9,Azul,2013,cluster1
35,02/09/2013,'Aston Martin','São Paulo',0.551181,0.369775,0,0.041096,0.307344,'Honest John',DB9,Azul,2013,cluster2
36,02/10/2013,'Aston Martin','São Paulo',0.982677,0.369775,0,0.287671,0.161378,'Bright Orange',Vanquish,Vermelho,2013,cluster1
37,02/11/2013,'Aston Martin','São Paulo',0.677165,0.77492,0,1,0.463282,WheelsRUs,Rapide,Vermelho,2013,cluster1
38,02/12/2013,'Aston Martin','São Paulo',0.551181,0.77492,0,1,0.548504,CunShut,Vanquish,Vermelho,2013,cluster1
39,01/01/2012,Jaguar,'Rio de Janeiro',0.135433,0.131833,0.09901,0.287671,0.307344,'Rocky Riding',XK,Púrpura,2012,cluster0
40,01/02/2012,Jaguar,'Rio de Janeiro',0.141732,0.212219,0.09901,0.287671,0.307344,'Rocky Riding',XJ6,Verde,2012,cluster0
41,01/03/2012,Jaguar,'Espírito Santo',0.107087,0.131833,0.09901,0.041096,0.307344,'Voitures Diplomatiques S.A.',XJ12,Preto,2012,cluster2
42,01/04/2012,Jaguar,'Minas Gerais',0.135433,0.212219,0.09901,0.315068,0.307344,'Les Arnaqueurs',XK,Prata,2012,cluster2
43,01/05/2012,Jaguar,'São Paulo',0.135433,0.131833,0.09901,0.315068,0.307344,'Bright Orange',XJ12,Prata,2012,cluster2
44,01/06/2012,Jaguar,'São Paulo',0.107087,0.212219,0.09901,0.315068,0.307344,'Honest John',XK,Azul,2012,cluster2
45,01/07/2012,Jaguar,'São Paulo',0.135433,0.131833,0.09901,1,0.307344,WheelsRUs,XK,Verde,2012,cluster2
46,01/08/2012,Jaguar,'São Paulo',0.551181,0.292605,0.148515,0.315068,0.307344,CunShut,XJ12,Azul,2012,cluster1
47,01/09/2012,Jaguar,'Rio de Janeiro',0.551181,0.131833,0.148515,1,0.761559,'Rocky Riding',XJ12,Prata,2012,cluster2
48,01/10/2012,Jaguar,'Espírito Santo',0.135433,0.212219,0.148515,1,0.761559,'Voitures Diplomatiques S.A.',XJ6,Verde,2012,cluster2
49,01/11/2012,Jaguar,'São Paulo',0.107087,0.131833,0,0.315068,0.761559,'Aldo Motors',XK,Púrpura,2012,cluster2
50,01/12/2012,Jaguar,'São Paulo',0.135433,0.212219,0,0.315068,0.761559,'Aldo Motors',XK,Preto,2012,cluster2
51,02/01/2013,Jaguar,'São Paulo',0.135433,0.131833,0,1,0.761559,'Honest John',XK,Verde,2013,cluster2
52,02/02/2013,Jaguar,'São Paulo',0.135433,0.212219,0,0.315068,0.761559,'Bright Orange',XK,Púrpura,2013,cluster2
53,02/03/2013,Jaguar,'São Paulo',0.107087,0.131833,0.148515,0.315068,0.761559,CunShut,XJ6,Vermelho,2013,cluster2
54,02/04/2013,Jaguar,'São Paulo',0.551181,0.212219,0.148515,0.315068,0.761559,WheelsRUs,XJ6,Vermelho,2013,cluster2
55,02/05/2013,Jaguar,'São Paulo',0.135433,0.131833,0.148515,0.315068,0.761559,'Crippen & Co',XJ6,Vermelho,2013,cluster2
56,02/06/2013,Jaguar,'Espírito Santo',0.107087,0.212219,0.09901,0.287671,0.761559,'Voitures Diplomatiques S.A.',XK,Púrpura,2013,cluster2
57,02/07/2013,Jaguar,'Rio de Janeiro',0.107087,0.131833,0.09901,0.287671,0.546691,'Rocky Riding',XK,Verde,2013,cluster0
58,02/08/2013,Jaguar,'São Paulo',0.107087,0.051447,0.09901,0.287671,0.546691,'Crippen & Co',XK,Preto,2013,cluster2
59,02/09/2013,Jaguar,'Minas Gerais',0.107087,0.131833,0.09901,0.315068,0.546691,'Les Arnaqueurs',XK,Azul,2013,cluster2
60,02/10/2013,Jaguar,'São Paulo',0.107087,0.212219,0.148515,0.315068,0.546691,WheelsRUs,XK,Prata,2013,cluster2
61,02/11/2013,Jaguar,'São Paulo',0.107087,0.131833,0.148515,0.315068,1,WheelsRUs,XK,Prata,2013,cluster2
62,02/12/2013,Jaguar,'São Paulo',0.107087,0.212219,0.148515,0.315068,1,CunShut,XJ6,Verde,2013,cluster2
63,01/01/2012,Bentley,'São Paulo',0.107087,0.136334,0.148515,0.315068,1,CunShut,Continental,Azul,2012,cluster1
64,01/02/2012,Bentley,'São Paulo',0.135433,0.136334,0.148515,0.315068,1,'Bright Orange',Arnage,Azul,2012,cluster1
65,01/03/2012,Bentley,'São Paulo',0.135433,0.136334,0.148515,0.315068,0.761559,'Bright Orange',Azure,Vermelho,2012,cluster1
66,01/04/2012,Bentley,'São Paulo',0.551181,0.136334,0.148515,0.465753,1,'Honest John','Turbo R',Vermelho,2012,cluster1
67,01/05/2012,Bentley,'São Paulo',0.551181,0.369775,0.148515,0.465753,0.761559,'Honest John',Continental,Prata,2012,cluster1
68,01/06/2012,Bentley,'São Paulo',0.551181,0.369775,0.09901,0.465753,1,'Aldo Motors',Continental,Púrpura,2012,cluster1
69,01/07/2012,Bentley,'São Paulo',0.551181,0.136334,0.09901,0.465753,0.761559,'Aldo Motors',Continental,Verde,2012,cluster1
70,01/08/2012,Bentley,'Espírito Santo',0.551181,0.136334,0.09901,0.465753,1,'Voitures Diplomatiques S.A.',Azure,Preto,2012,cluster1
71,01/09/2012,Bentley,'Rio de Janeiro',0.135433,0.136334,0.09901,0.465753,0.761559,'Rocky Riding','Turbo R',Prata,2012,cluster2
72,01/10/2012,Bentley,'Minas Gerais',0.551181,0.369775,0.09901,0.315068,1,'Les Arnaqueurs',Continental,Prata,2012,cluster1
73,01/11/2012,Bentley,'São Paulo',0.135433,0.369775,0.09901,0.287671,0.761559,'Aldo Motors',Continental,Prata,2012,cluster1
74,01/12/2012,Bentley,'São Paulo',0.135433,0.369775,0.09901,0.287671,0.761559,'Honest John',Continental,Azul,2012,cluster1
75,02/01/2013,Bentley,'São Paulo',0.551181,0.136334,0.09901,0.287671,1,'Bright Orange',Continental,Azul,2013,cluster1
76,02/02/2013,Bentley,'São Paulo',0.551181,0.136334,0.09901,0.315068,0.546691,CunShut,Continental,Verde,2013,cluster1
77,02/03/2013,Bentley,'São Paulo',0.11811,0.136334,0.09901,0.465753,0.546691,WheelsRUs,Azure,Azul,2013,cluster1
78,02/04/2013,Bentley,'Minas Gerais',0.551181,0.136334,0.09901,0.465753,0.546691,'Les Arnaqueurs','Turbo R',Vermelho,2013,cluster1
79,02/05/2013,Bentley,'São Paulo',0.107087,0.369775,0.09901,0.465753,0.546691,'Crippen & Co','Turbo R',Vermelho,2013,cluster1
80,02/06/2013,Bentley,'Rio de Janeiro',0.107087,0.369775,0.09901,0.315068,0.307344,'Rocky Riding',Continental,Vermelho,2013,cluster1
81,02/07/2013,Bentley,'São Paulo',0.107087,0.136334,0.09901,0.315068,0.307344,'Aldo Motors',Continental,Púrpura,2013,cluster1
82,02/08/2013,Bentley,'São Paulo',0.11811,0.369775,0.09901,0.465753,0.307344,'Honest John',Continental,Púrpura,2013,cluster1
83,02/09/2013,Bentley,'Minas Gerais',0.107087,0.369775,0.247525,0.287671,0.307344,'Les Arnaqueurs',Continental,Verde,2013,cluster1
84,02/10/2013,Bentley,'São Paulo',0.135433,0.369775,0.19802,0.287671,0.307344,WheelsRUs,Continental,Preto,2013,cluster1
85,02/11/2013,Bentley,'São Paulo',0.135433,0.136334,0.19802,0.287671,0.307344,'Honest John',Azure,Azul,2013,cluster1
86,02/12/2013,Bentley,'São Paulo',0.135433,0.136334,0.19802,0.287671,0.307344,'Aldo Motors','Turbo R',Prata,2013,cluster2
87,02/01/2013,Jaguar,Paraná,0.045669,0.212219,0.029703,0.068493,0.307344,'Costa Del Speed',XK,Vermelho,2013,cluster0
88,02/02/2013,TVR,Bahia,0.11811,0.212219,0.029703,0.068493,0.161378,Karz,Tuscan,Azul,2013,cluster1
89,02/03/2013,Jaguar,Paraná,0.107087,0.212219,0.029703,0.068493,0.161378,'Costa Del Speed',XK,Verde,2013,cluster2
90,02/04/2013,TVR,Bahia,0.045669,0.212219,0.029703,0.068493,0.161378,Karz,Cerbera,Prata,2013,cluster2
91,02/05/2013,Jaguar,'Espírito Santo',0.614173,0.212219,0.029703,0.068493,0.161378,'Voitures Diplomatiques S.A.',XK,Prata,2013,cluster2
92,02/06/2013,TVR,'Rio de Janeiro',0.045669,0.212219,0.029703,0.068493,0.161378,'Rocky Riding',Tuscan,Azul,2013,cluster2
93,02/07/2013,Jaguar,'São Paulo',0.11811,0.212219,0.029703,0.068493,0.161378,'Honest John',XK,Prata,2013,cluster2
94,02/08/2013,TVR,'Minas Gerais',0.045669,0.212219,0.029703,0.068493,0.161378,'Les Arnaqueurs',Cerbera,Prata,2013,cluster2
95,02/09/2013,Jaguar,'São Paulo',0.107087,0.212219,0.029703,0.068493,0.161378,WheelsRUs,XK,Verde,2013,cluster2
96,02/10/2013,TVR,'Rio de Janeiro',0.11811,0.212219,0.029703,0.068493,0.161378,'Rocky Riding',Tuscan,Azul,2013,cluster1
97,02/11/2013,Jaguar,'São Paulo',0.045669,0.212219,0.029703,0.068493,0.161378,WheelsRUs,XK,Azul,2013,cluster2
98,02/12/2013,Jaguar,'São Paulo',0.11811,0.212219,0.029703,0.068493,0.161378,'Bright Orange',XJ6,Azul,2013,cluster1
99,02/01/2013,Jaguar,'São Paulo',0.107087,0.136334,0.029703,0.068493,0.093382,'Olde Englande',XJ6,Púrpura,2013,cluster2
100,02/02/2013,Jaguar,'São Paulo',0.107087,0.136334,0.029703,0.068493,0.093382,'Impressive Wheels',XJ6,Verde,2013,cluster2
101,02/03/2013,Jaguar,'São Paulo',0.107087,0.136334,0.029703,0.068493,0.093382,'Olde Englande',XJ6,Preto,2013,cluster2
102,02/04/2013,Jaguar,'São Paulo',0.107087,0.369775,0.029703,0.068493,0.093382,'Smooth Riders',XK,Azul,2013,cluster2
103,02/05/2013,Jaguar,'São Paulo',0.11811,0.369775,0.029703,0.068493,0.093382,'Luxury Rentals',XK,Prata,2013,cluster2
104,02/06/2013,Jaguar,'São Paulo',0.11811,0.136334,0.029703,0.068493,0.093382,'Premium Motor Vehicles',XJ6,Prata,2013,cluster2
105,02/07/2013,Jaguar,'São Paulo',0.107087,0.136334,0.029703,0.068493,0.093382,'Luxury Rentals',XJ6,Prata,2013,cluster2
106,02/08/2013,Jaguar,'São Paulo',0.107087,0.136334,0.029703,0.068493,0.093382,'Aldo Motors',XK,Prata,2013,cluster2
107,02/09/2013,Jaguar,'São Paulo',0.107087,0.369775,0.029703,0.068493,0.093382,'Honest John',XK,Prata,2013,cluster2
108,02/10/2013,Jaguar,'São Paulo',0.107087,0.136334,0.029703,0.068493,0.093382,'Honest John',XJ6,Prata,2013,cluster2
109,02/11/2013,Jaguar,'São Paulo',0.11811,0.369775,0.029703,0.068493,0.093382,'Bright Orange',XK,Azul,2013,cluster2
110,02/12/2013,Jaguar,'São Paulo',0.11811,0.369775,0.029703,0.068493,0.093382,CunShut,XK,Azul,2013,cluster2
111,02/01/2013,MGB,'São Paulo',0.107087,0,0.029703,0.068493,0.161378,WheelsRUs,GT,Verde,2013,cluster2
112,02/02/2013,MGB,'São Paulo',0.107087,0.025723,0.029703,0.068493,0.161378,'Olde Englande',GT,Verde,2013,cluster2
113,02/03/2013,MGB,'São Paulo',0.017323,0,0.029703,0.068493,0.161378,WheelsRUs,GT,Vermelho,2013,cluster2
114,02/04/2013,MGB,'São Paulo',0,0.025723,0.029703,0.068493,0.161378,WheelsRUs,GT,Vermelho,2013,cluster2
115,02/05/2013,MGB,'São Paulo',0,0,0.029703,0.068493,0.161378,CunShut,GT,Vermelho,2013,cluster2
116,02/06/2013,MGB,'São Paulo',0,0.025723,0.029703,0.068493,0.161378,CunShut,GT,Vermelho,2013,cluster2
117,02/07/2013,MGB,'São Paulo',0.017323,0,0.029703,0.068493,0.161378,'Bright Orange',GT,Azul,2013,cluster1
118,02/08/2013,MGB,'São Paulo',0,0.025723,0.029703,0.068493,0.161378,'Honest John',GT,Verde,2013,cluster2
119,02/09/2013,MGB,'São Paulo',0.017323,0,0.029703,0.068493,0.161378,'Aldo Motors',GT,Prata,2013,cluster2
120,02/10/2013,MGB,'São Paulo',0,0.025723,0.029703,0.068493,0.161378,'Honest John',GT,Prata,2013,cluster2
121,02/11/2013,MGB,'São Paulo',0.017323,0,0.029703,0.068493,0.161378,'Bright Orange',GT,Azul,2013,cluster1
122,02/12/2013,MGB,'São Paulo',0,0,0.029703,0.068493,0.161378,'Aldo Motors',GT,Verde,2013,cluster2
123,02/01/2013,Triumph,'São Paulo',0,0.025723,0.029703,0.068493,0.161378,'Luxury Rentals',TR4,Preto,2013,cluster2
124,02/02/2013,Triumph,'São Paulo',0.017323,0.080386,0.029703,0.068493,0.161378,'Smooth Riders',TR5,Púrpura,2013,cluster2
125,02/03/2013,Triumph,'São Paulo',0,0.025723,0.029703,0.068493,0.161378,'Honest John',TR7,Verde,2013,cluster2
126,02/04/2013,Triumph,'São Paulo',0,0.080386,0.029703,0.068493,0.161378,'Impressive Wheels',TR4,Azul,2013,cluster1
127,02/05/2013,Triumph,'São Paulo',0,0.025723,0.029703,0.068493,0.161378,'Bright Orange',TR4,Prata,2013,cluster2
128,02/06/2013,Triumph,Paraná,0,0.080386,0.029703,0.068493,0.161378,'Costa Del Speed',TR5,Prata,2013,cluster2
129,02/07/2013,Triumph,'São Paulo',0.017323,0.080386,0.029703,0.068493,0.161378,CunShut,TR5,Azul,2013,cluster1
130,02/08/2013,Triumph,'São Paulo',0,0.080386,0.029703,0.068493,0.161378,WheelsRUs,TR4,Azul,2013,cluster1
131,02/09/2013,Triumph,'São Paulo',0.017323,0.080386,0.029703,0.068493,0.161378,'Olde Englande',TR4,Vermelho,2013,cluster2
132,02/10/2013,Triumph,'São Paulo',0.017323,0.080386,0.029703,0.068493,0.161378,'Impressive Wheels',TR7,Vermelho,2013,cluster2
133,02/11/2013,Triumph,'São Paulo',0.017323,0.080386,0.029703,0.068493,0.161378,CunShut,TR4,Verde,2013,cluster2
134,02/12/2013,Triumph,'São Paulo',0.017323,0.080386,0.029703,0.068493,0.274705,'Bright Orange',TR5,Prata,2013,cluster2
135,09/01/2013,'Aston Martin','Minas Gerais',0.327559,0.171222,0.09901,0.575342,1,'Chateau Moi',DB7,Vermelho,2013,cluster0
136,10/01/2013,'Aston Martin','Minas Gerais',0.294488,0.083601,0.247525,0.575342,1,'Vive la Vitesse!',DB7,Azul,2013,cluster1
137,11/02/2013,'Aston Martin','Minas Gerais',0.001575,0.115756,0.09901,0.575342,0.728015,'Carosse Des Papes',Vantage,Verde,2013,cluster2
138,12/03/2013,'Aston Martin','Espírito Santo',0.091339,0.083601,0.19802,0.575342,1,'Three Country Cars',Vantage,Prata,2013,cluster2
139,13/03/2013,'Rolls Royce','Espírito Santo',0.327559,0.171222,0.148515,0.575342,1,Jungfrau,Camargue,Prata,2013,cluster2
140,14/03/2013,'Aston Martin','Minas Gerais',0.146772,0.083601,0.19802,0.575342,0.728015,'Chateau Moi',DB7,Azul,2013,cluster1
141,15/04/2013,'Rolls Royce','Minas Gerais',0.001575,0.115756,0.49505,0.232877,1,'Vive la Vitesse!',Camargue,Preto,2013,cluster2
142,16/04/2013,'Aston Martin','Minas Gerais',0.146772,0.083601,0.247525,0.232877,1,'Carosse Des Papes',Vantage,Vermelho,2013,cluster0
143,17/05/2013,'Aston Martin','Espírito Santo',0.091339,0.083601,0.19802,0.232877,1,'Three Country Cars',DB7,Azul,2013,cluster1
144,18/05/2013,'Aston Martin','Espírito Santo',0.146772,0.083601,0.09901,0.575342,1,Jungfrau,Vantage,Verde,2013,cluster1
145,19/05/2013,'Aston Martin','Minas Gerais',0.095685,0.115756,0.19802,0.575342,0.728015,'Chateau Moi',DB7,Prata,2013,cluster2
146,20/06/2013,'Aston Martin','Minas Gerais',0.327559,0.083601,0.49505,0.575342,1,'Vive la Vitesse!',Vantage,Prata,2013,cluster2
147,21/07/2013,'Rolls Royce','Minas Gerais',0.146772,0.083601,0.247525,0.575342,1,'Carosse Des Papes',Camargue,Azul,2013,cluster1
148,22/07/2013,'Aston Martin','Espírito Santo',0.091339,0.115756,0.19802,0.191781,1,'Three Country Cars',DB7,Preto,2013,cluster2
149,23/09/2013,'Aston Martin','Espírito Santo',0.095685,0.083601,0.247525,0.191781,1,Jungfrau,DB9,Vermelho,2013,cluster0
150,24/10/2013,'Rolls Royce','Espírito Santo',0.294488,0.083601,0.09901,0.191781,0.728015,Jungfrau,Camargue,Azul,2013,cluster1
151,25/11/2013,'Aston Martin','Minas Gerais',0.095685,0.171222,0.19802,0.575342,1,'Vive la Vitesse!',DB9,Verde,2013,cluster1
152,26/11/2013,'Aston Martin','Espírito Santo',0.327559,0.083601,0.148515,0.575342,1,Jungfrau,DB7,Prata,2013,cluster2
